Kode,Nama,Harga + Pajak,Type Brg,Harga,S Akhir
2KG0026B,BURNER HEAD SHORT - KG-302 C,Rp33.189,KG-302,29900,2
2KG0030A,GRATE (COMMON) - KG-302 C,Rp34.965,KG-302,31500,2
3KG0023B,BURNER CAP 4 HOLES (FOR SUS) - KG-302 C,Rp34.721,KG-302,31280,2
3KG0034B,GAS VALVE (D0.88) - KG-302 C NEW,Rp49.018,KG-302,44160,6
3KG0043A,GAS VALVE COVER - SL-290,Rp22.200,SL-290,20000,3
3KG0047A,GAS VALVE - KG-302C / KG-11C (KY),Rp48.840,"KG-302C, KG-11C",44000,4
3KG0048A,GAS VALVE - SL-290 (ZB),Rp61.050,SL-290,55000,5
BLXX-AX001-WH-KGX,SWITCH KNOB ASSY BL (WHITE),Rp11.100,"BL-101 PL, BL-101GS",10000,10
BLXX-AX046-XX-KGX,UPPER CONNECTOR ASSY (B),Rp6.660,"BL-101 Series ( lama ), BL-151/152 Series (lama)",6000,3
BLXX-AX140-BK-KGX,TOTAL FRUIT MOUNTING RING ASSY 51 GI (BLACK),Rp61.272,"BL-51 GI, BL-52 PI",55200,2
BLXX-AX143-BK-KGX,LOWER CONNECTOR ASSY 51 GI (A) BLACK,Rp11.100,,10000,14
BLXX-AX157-BK-KGX,TOTAL WET CONTAINER GLASS ASSY 51 GI (BLACK),Rp51.060,,46000,4
BLXX-AX162-BK-KGX,TOTAL BIG CONTAINER PLASTIC ASSY 52 PI (BLACK),Rp112.332,,101200,5
BLXX-AX178-GR-KGX,TOTAL BIG CONTAINER PLASTIC ASSY 1.5 (GREEN) WITHOUT SEAL SEAT,Rp61.272,,55200,6
BLXX-AX181-GR-KGX,TOTAL DRY CONTAINER PLASTIC ASSY (GREEN) WITHOUT SEAL SEAT,Rp27.750,,25000,2
BLXX-AX181-WH-KGX,TOTAL DRY CONTAINER PLASTIC ASSY (WHITE) WITHOUT SEAL SEAT,Rp27.750,,25000,5
BLXX-AX183-GR-KGX,WET MOUNTING RING ASSY (GREEN) WITHOUT SEAL SEAT,Rp27.750,,25000,10
BLXX-AX183-WH-KGX,WET MOUNTING RING ASSY (WHITE) WITHOUT SEAL SEAT,Rp27.750,,25000,10
BLXX-AX184-GR-KGX,TOTAL WET CONTAINER PLASTIC ASSY (GREEN) WITHOUT SEAL SEAT,Rp40.848,,36800,10
BLXX-AX184-WH-KGX,TOTAL WET CONTAINER PLASTIC ASSY (WHITE) WITHOUT SEAL SEAT,Rp40.848,,36800,11
BLXX-AX197-WH-KGX,TOTAL BIG CONTAINER PLASTIC (AS) ASSY (WITHOUT SEAL SEAT) WHITE,Rp45.954,,41400,7
BLXX-AX244-GR-KGX,FRUIT MOUNTING RING ASSY (RB) WITHOUT SEAL SEAT (GREEN),Rp24.420,,22000,12
BLXX-AX244-WH-KGX,FRUIT MOUNTING RING ASSY (RB) WITHOUT SEAL SEAT (WHITE),Rp24.420,,22000,20
BLXX-AX268-GR-KGX,TOTAL MEAT CONTAINER ASSY 501 (GREEN),Rp112.332,,101200,2
BLXX-EA001-WH-KGX,SWITCH KNOB ASSY B (WHITE),Rp11.100,,10000,5
BLXX-EA009-GY-KGX,FOUR SWITCH ASSY C + DIODA IN5406 / IN5408 3A + KNOB (GREY),Rp17.760,,16000,8
BLXX-EA009-XX-KGX,FOUR SWITCH ASSY C + DIODA IN5406 / IN5408 3A + KNOB (GREEN),Rp17.760,,16000,7
BLXX-EA013-XX-KGX,FOUR SWITCH ASSY 211,Rp23.865,,21500,8
BLXX-EA042-XX-KGX,MOTOR ASSY 51 GI,Rp117.438,,105800,12
BLXX-EA075-XX-KGX,MOTOR ASSY BL (H) 250W WITH THERMOSTAT (AL WIRE),Rp117.438,,105800,11
BLXX-EA076-XX-KGX,MOTOR ASSY BL (I) 300W WITH THERMOSTAT (AL WIRE),Rp117.438,,105800,7
BLXX-EA077-XX-KGX,MOTOR ASSY BL (G) 300W WITH THERMOSTAT (AL WIRE),Rp117.438,,105800,6
BLXX-EA079-XX-KGX,POWER CORD ASSY BL (SNI) MAS (R.2),Rp16.650,,15000,5
BLXX-EA119-GR-KGX,FOUR SWITCH ASSY C + DIODA IN5406 / IN5408 3A + KNOB (GREEN) BQ,Rp16.650,,15000,4
BLXX-EX059-GY-KGX,SILICONE RING FOR BLENDER (I) WET (R.1) GREY,Rp6.660,,6000,3
BLXX-EX074-XX-KGX,PAD FOR BLENDER SILICONE (R1),Rp6.660,,6000,2
BLXX-PX146-BK-KGX,BIG CONTAINER COVER 1.5 (C) BLACK,Rp6.660,,6000,8
BLXX-PX230-GR-KGX,BIG CONTAINER COVER 1.5 PF (B) GREEN,Rp6.660,,6000,2
BLXX-PX259-BK-KGX,UPPER CONNECTOR 51 GI (D) BLACK,Rp6.660,,6000,5
BLXX-PX260-WH-KGX,BIG CONTAINER COVER 1L (J) WHITE,Rp6.660,,6000,5
BLXX-PX265-GR-KGX,MOTOR HOUSING 1.5 (H) GREEN,Rp16.650,,15000,2
BLXX-PX266-GR-KGX,BOTTOM PLATE 1.5 (H) GREEN,Rp11.100,,10000,2
BLXX-PX271-WH-KGX,MOTOR HOUSING BL 1 (F) WHITE,Rp11.100,,10000,1
BLXX-PX272-WH-KGX,BOTTOM PLATE BL 1 (I) WHITE,Rp11.100,,10000,4
CHXX-AX021-XX-KGX,TOTAL GEAR HOUSE ASSY 208,Rp46.620,,42000,4
EIMX-EA047-XX-KGX,PILOT LAMP ASSY EI (A),Rp6.660,,6000,4
EIMX-EA057-XX-KGX,THERMOSTAT ASSY EI (B) R1,Rp17.760,,16000,4
EIMX-EA059-XX-KGX,THERMOSTAT ASSY EI (C) R2,Rp17.760,,16000,10
EIMX-EA065-XX-KGX,POWER CORD ASSY EI (D) MAS (R1),Rp29.970,,27000,17
EP104B,KNOB ASM - COMMON (NEW DESIGN),Rp8.880,,8000,22
EXXX-AX330-XX-KGX,THERMOSTAT ASSY 81N 250V 12A,Rp11.100,,10000,6
EXXX-AX390-XX-KGX,THERMOFUSE 135 DEGREES C 2A 250V,Rp14.985,,13500,2
EXXX-AX428-XX-KGX,MICROSWITCH 10A 250V (WSNO),Rp11.100,,10000,5
EXXX-AX439-XX-KGX,MICROSWITCH 6A 250V (WSNO),Rp11.100,,10000,72
EXXX-AX503-XX-KGX,MICROSWITCH 16A 250V (TD),Rp11.100,,10000,85
EXXX-AX506-KH-KGX,THERMOSTAT ASSY 83N 250V 10A (KH),Rp11.100,,10000,5
EXXX-AX508-XX-KGX,THERMOFUSE 172 DEGREES C 10A 250V WITH HOOK,Rp6.660,,6000,9
FXXX-EX064-GL-KGX,CLAMP KNOB HINGE RC 6 (GALVANIZE),Rp6.660,,6000,2
GCXX-AX008-XX-KGX,VALVE ASSY MH-388,Rp142.968,,128800,2
GCXX-AX009-XX-KGX,IGNITION KNOB ASSY ML-288,Rp11.100,,10000,1
GCXX-AX024-XX-KGX,TOTAL BURNER ASSY 101 (B),Rp26.640,,24000,2
GCXX-AX031-XX-KGX,BURNER + SUN BURNER MH-388,Rp173.604,,156400,2
GCXX-EA006-XX-KGX,BLAZE LIGHTER 101,Rp6.660,,6000,1
GCXX-EA007-XX-KGX,BLAZE WIRE LIGHTER 101,Rp11.100,,10000,2
GCXX-MX037-XX-KGX,TOP PLATE MH-388,Rp24.420,,22000,2
GCXX-MX062-XX-KGX,BURNER CAP 101 (B),Rp33.300,,30000,8
GCXX-PX008-XX-KGX,IGNITION KNOB CC-100,Rp11.100,,10000,2
GCXX-PX017-XX-KGX,IGNITION KNOB 101 (R2),Rp8.880,,8000,2
JEXX-PX049-YL-KGX,PLUNGER 607 (YELLOW),Rp6.660,,6000,2
JEXX-PX056-WH-KGX,BODY 607 (WHITE),Rp28.305,,25500,1
M06/MAC MGC-10T,MANIFOLD ASSEMBLY COMPLITE MGC-10T,Rp372.738,,335800,2
M06/THERMO MGC-10T,THERMOSTAT MGC-10T,Rp263.070,,237000,2
M08/AOC VC-7100,AIR OUTLET COVER VC-7100,Rp6.660,,6000,2
M08/AOP VC-7100,AIR OUTLET PLATE VC-7100,Rp22.755,,20500,2
M08/CARBON B VC-7100,CARBON BRUSH VC-7100,Rp25.530,,23000,2
M08/CF VC-7100,CARBON FILTER VC-7100,Rp35.520,,32000,2
M08/EB VC-7100,ELLIPSE BRUSH VC-7100,Rp46.620,,42000,2
M08/EW (NEW) VC-7100,EXTENTION WANDS (NEW) VC-7100,Rp27.195,,24500,2
M08/FHA VC-7100,FLEXIBLE HOSE ASSY VC-7100,Rp360.750,,325000,2
M08/GASKET VC-7100,GASKET VC-7100,Rp38.850,,35000,2
M08/MTR VC-7100,MOTOR VC-7100,Rp773.670,,697000,2
M08/NS VC-7100,NEW SWITCH VC-7100,Rp66.600,,60000,2
M08/PC VC-7100,POWER CORD VC-7100,Rp133.200,,120000,2
M10/LC TSK-258,LOWER COVER TSK-258,Rp72.150,,65000,2
M10/UC TSK-258,UPPER COVER TSK-258,Rp72.150,,65000,2
M19/BASE JE-507,BASE JE-507,Rp12.765,,11500,2
M19/FDT JE-507,FRUIT DREGS THROUGH / SEGREGATOR JE-507,Rp7.770,,7000,2
M19/HH JE-507,HOOK HOLDER JE-507,Rp6.660,,6000,2
M19/MBB JE-507,MAIN BODY JE-507,Rp32.190,,29000,2
M19/MTR JE-507,MOTOR JE-507,Rp88.334,,79580,2
M23/PA AWD-100B/100NP,PUMP ASSY AWD-100B/100NP,Rp13.320,,12000,2
M23/PA AWD-200BK/200WH,PUMP ASSY AWD-200BK/200WH,Rp16.650,,15000,2
M23/PCB AWD-100B/100NP,PCB AWD-100B/100NP,Rp35.520,,32000,8
M23/PCB AWD-200BK/200WH,PCB AWD-200BK/200WH,Rp24.420,,22000,4
MCMX-AX027-XX-KGX,TOTAL SIDE ELEMENT ASSY 606,Rp16.650,,15000,16
MCMX-AX045-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM-838 (806 OHM),Rp19.980,,18000,2
MCMX-AX047-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM (396.5 OHM),Rp14.985,,13500,13
MCMX-AX176-XX-KGX,FRONT FRAME ASSY 516,Rp22.200,,20000,2
MCMX-AX362-XX-KGX,TOTAL POWER CORD ASSY 528 (SNI) GROUND (C),Rp24.420,,22000,2
MCMX-AX364-BK-KGX,TOTAL TOP COVER ASSY 508 NEW (GROUND) BLACK,Rp55.500,,50000,2
MCMX-AX365-WH-KGX,TOTAL TOP COVER ASSY 528 NEW (GROUND) WHITE,Rp55.500,,50000,2
MCMX-AX366-PK-KGX,TOTAL TOP COVER ASSY 509 NEW (GROUND) PINK,Rp55.500,,50000,5
MCMX-AX367-PL-KGX,TOTAL TOP COVER ASSY 507 NEW (GROUND) PEARL,Rp55.500,,50000,16
MCMX-AX373-WH-KGX,TOTAL TOP COVER ASSY 609 (GROUND) WHITE,Rp38.850,,35000,2
MCMX-AX387-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM-508 (396.5 OHM),Rp16.650,,15000,2
MCMX-AX394-XX-KGX,TOTAL SIDE ELEMENT ASSY MCM-512 (600 OHM),Rp16.650,,15000,8
MCMX-AX397-RG-KGX,OUT CASE ASSY 508 (B) ROSE GOLD HE,Rp33.300,,30000,6
MCMX-AX403-XX-KGX,OUT CASE ASSY 721 (HE),Rp22.200,,20000,13
MCMX-EA046-XX-KGX,WIRING ASSY MCM-707 (E),Rp13.320,,12000,12
MCMX-EA054-XX-KGX,WIRING ASSY MCM-507 (A),Rp13.320,,12000,72
MCMX-EA066-XX-KGX,WIRING ASSY MCM-606 (C),Rp13.320,,12000,12
MCMX-EA092-XX-KGX,WIRING ASSY MCM-507 (B),Rp13.320,,12000,20
MCMX-EA101-XX-KGX,CENTER THERMOSTAT ASSY (H) 145-153 DEGREES C,Rp11.100,,10000,8
MCMX-EA261-CD-KGX,THERMOSTAT ASSY 81N 250V 5A WITH HOLDER (CD),Rp11.100,,10000,8
MCMX-EA305-XX-KGX,CENTER THERMOSTAT ASSY MCG-171 (142 DEGREES C-150 DEGREES C),Rp11.100,,10000,4
MCMX-EA328-XX-KGX,WIRING ASSY MCM-610 (B),Rp13.320,,12000,5
MCMX-EA347-XX-KGX,PCB ASSY MCM-612,Rp16.650,,15000,5
MCMX-EA348-XX-KGX,PCB ASSY MCM-606 A,Rp16.650,,15000,15
MCMX-EA350-XX-KGX,PCB ASSY MCM-838,Rp16.650,,15000,8
MCMX-EA355-XX-KGX,WIRING ASSY MCM-838 (C) R3,Rp6.660,,6000,19
MCMX-EA368-XX-KGX,PCB ASSY MCG-171,Rp22.200,,20000,4
MCMX-EA371-XX-KGX,WIRING ASSY MCG-171 (E) R1,Rp16.650,,15000,5
MCMX-EA375-MS-KGX,PCB ASSY MCM-508 (A) R1 MAS,Rp16.650,,15000,4
MCMX-EA377-MS-KGX,TOP ELEMENT ASSY MCG-171 (R2) MAS,Rp19.980,,18000,5
MCMX-EA378-XX-KGX,PCB ASSY MCM-610 (R1),Rp16.650,,15000,6
MCMX-EA381-XX-KGX,PCB ASSY MCM-509 (B),Rp16.650,,15000,5
MCMX-EA439-XX-KGX,PCB ASSY MCM-606 B (R.1),Rp16.650,,15000,3
MCMX-EA441-XX-KGX,PCB ASSY MCM-721 LST (R.1),Rp22.200,,20000,6
MCMX-EA450-XX-KGX,PCB ASSY MCM-606 A (R.1),Rp16.650,,15000,4
MCMX-EA479-XX-KGX,PCB ASSY MCM-638 (B),Rp16.650,,15000,2
MCMX-EA483-MS-KGX,POWER CORD ASSY MCG-171 (SNI) GROUND - MAS,Rp44.400,,40000,4
MCMX-EA488-XX-KGX,TOTAL HEATING PLATE ASSY 528 GROUND (395W 220V),Rp44.400,,40000,1
